Job Title,Company Name,Location,Job Type,Salary,Experience Level,Skills/Technologies Required,Benefits,Job Responsibilities/Duties,Job Posting Date,Job Description Length,Job Posting Platform,Job Posting ID
"Consulting Director - Data Visualization, Data Science & Analytics (us)",Artefact,United States,Full-time,,,"r, ai",,"Having recently opened our first office in the United States, we are looking for a Director to join Artefacts U.S.s consulting practice and grow our footprint within the U.S. market, As an experienced consultant, you will play a key role in winning and overseeing consulting engagements, serving as primary contact with clients, assuming the lead role with internal teams of consultants and data scientists, and engaging resources across Artefacts global offices, Building Artefacts U.S. presence, serving in a leadership capacity for the U.S. office, and maintaining strong relationships with Artefact offices globally, Creating real impact with clients, Winning consulting engagements and overseeing their delivery, transforming data into added value and making sure our clients reap all the benefits, Bringing your industry and/or functional expertise to help both our own and our client teams develop themselves, Leading and supporting our clients top executives (CMO, CDO, sometimes directly the CEO) with transformation of their business and making sure Artefact is their preferred partner in this endeavor, Contributing to content development and writing on business-relevant topics (e.g. Artefact-published research, articles and business cases), Deliver the highest standards of quality on your projects, Pilot multidisciplinary teams (consultants, data scientists, strategic planners, media traders), Ensure the highest level of quality of output to your clients, Accountable for the success of the projects from a client and team perspective, Lead & develop the U.S. consulting team, Develop consultants' expertise through training and best practice sharing with the other countries (digital ecosystem, consulting hard skills, soft skills, etc.), Communicate the department's successes and results at the country level (ex: through events and PR), Develop client portfolio, Monitor and grow Artefact U.S.s commercial pipeline, Build and present thoughtful, attuned proposals supporting prospective client needs",,4210,"The Org, OfferPilot, Notify.careers",eyJqb2JfdGl0bGUiOiJDb25zdWx0aW5nIERpcmVjdG9yIC0gRGF0YSBWaXN1YWxpemF0aW9uLCBEYXRhIFNjaWVuY2UgXHUwMDI2IEFuYWx5dGljcyAodXMpIiwiY29tcGFueV9uYW1lIjoiQXJ0ZWZhY3QiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJkOWdwNWxXZDg4YVU3MTVpQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Data Science Consultant,Deloitte,United States,Full-time,,,"python, r, machine learning, ai, cloud",,"By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace, The Data Scientist will participate on the team that will design, develop, and deploy machine learning models to help government clients use data to manage its operations, Specifically, the Data Scientist will participate in a wide variety of Natural Language Processing activities to enable search and other related functions, The kinds of activities performed by the Data Scientist will include but not be limited to:, Selecting appropriate machine learning models for tasks and building and training working versions of those models using Python and other open-source tools, Designing deployment architectures for machine learning models, Training users on principles used to develop models and how to interact with models to facilitate their business processes, Building and prioritizing backlog for future machine-learning enabled features to support client business processes, The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients, Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers",,3421,"Karkidi, Talent.com, Jora, Jobilize, Remotely USA Jobs, WhatJobs",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgQ29uc3VsdGFudCIsImNvbXBhbnlfbmFtZSI6IkRlbG9pdHRlIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUVNRZlNLN3VzcUx3YnBhUUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Business Analytics Consultant,631 Booz Allen Hamilton_United States,"Colorado Springs, CO",Full-time,"$54,000 ",,"python, r, sql, ai","At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being, Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care, Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen's benefit programs, Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits, We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page, Salary at Booz Allen is determined by various factors, including but not limited to location, the individual's particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements, The projected compensation range for this position is $54,000.00 to $123,000.00 (annualized USD)","You know how to interface with internal and external customers to understand needs and gain insight on Global Workplace performance, As Global Workplace Business Analyst, you will provide business and technical expertise for the Corporate Real Estate (CRE) data analytics process, tools, and applications for the Global Workplace organization, In this role you will apply specific functional knowledge as it applies to corporate real estate and develop solutions to a variety of problems of varying scope and complexity, This position will require travel to a firm site 5 times per month, If this position is listed as remote or hybrid, you'll periodically work from a Booz Allen or client site facility, If this position is listed as onsite, you'll work with colleagues and clients in person, as needed for the specific role",2024/11/1,4731,"ZipRecruiter, Diversity Jobs, Talentify, Learn4Good",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBBbmFseXRpY3MgQ29uc3VsdGFudCIsImNvbXBhbnlfbmFtZSI6IjYzMSBCb296IEFsbGVuIEhhbWlsdG9uX1VuaXRlZCBTdGF0ZXMiLCJhZGRyZXNzX2NpdHkiOiJDb2xvcmFkbyBTcHJpbmdzLCBDTyIsImh0aWRvY2lkIjoiS0hHQVJJLUdYVjBVTFJWMUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Principal Predictive Analytics Consultant #1663,MeridianLink,United States,Full-time,"$114,300 - $161,400",,"python, r, sql, machine learning, ai, cloud, statistics","Salary range of $114,300 - $161,400, [It is not typical for offers to be made at or near the top of the range.], The actual salary will be determined based on experience and other job-related factors permitted by law including geographical location, Potential For Equity-Based Awards, Insurance coverage (medical, dental, vision, life, and disability), Flexible paid time off, Paid holidays, 401(k) plan with company match, Remote work, All compensation and benefits are subject to the terms and conditions of the underlying plans or programs, as applicable and as may be amended, terminated, or superseded from time to time","The Principal Predictive Analytics Consultant will be a key member of the analytics team, responsible for leading the design and delivery of critical solutions like Automated Underwriting, Risk Scoring, and Portfolio Monitoring, This role involves utilizing advanced data science tools and techniques to provide analytics services that optimize decision engines and improve the lending operations of financial institutions, The position will focus on building, testing, and validating predictive and optimization models that support credit underwriting decisions, The consultant will develop data-driven solutions to enhance credit risk assessments, automate decision-making, and optimize underwriting processes, The ideal candidate should possess a thorough understanding of loan origination systems, core underwriting practices, credit bureau data, and the interaction between these areas to drive predictive analytics, Data Management & Manipulation:, Take ownership of managing large, complex datasets from multiple sources, ensuring they are accurate, clean, and organized for analysis, Perform detailed data wrangling tasks to handle data inconsistencies to prepare data for use in predictive models and analysis, Implement advanced data transformation techniques (e.g., feature engineering, aggregation, normalization) to optimize data for specific machine learning, optimization and statistical models, Predictive Model Development:, Work on various types of predictive models, including classification, regression, and clustering, using algorithms like decision trees, random forests, or neural networks, Contribute to the fine-tuning of models by optimizing hyperparameters and evaluating performance using cross-validation, ensuring that models meet business and technical requirements, Data Science Project Execution:, Develop end-to-end analytical solutions, from data collection to model deployment, ensuring that the solutions meet the client's business objectives, such as improving lending strategies or underwriting decisions, Ensure that the analytical results align with key performance indicators (KPIs) and help drive measurable outcomes, Participate in the internal development of new data science methodologies that address evolving needs related to underwriting for our financial institution clients, Client Communication & Project Delivery:, Present complex analytical findings in a clear and actionable format to internal stakeholders and external clients helping them interpret the results of predictive models and make informed decisions based on data insights, Proactively identify project risks and work closely with team members to mitigate them, ensuring that the final deliverables are of the highest quality, meet or exceed client expectations, and are delivered within the defined timelines, Provide feedback and contribute to the continuous improvement of the data science workflow, ensuring projects are executed efficiently and with precision",2024/10/16,6478,"Lever, LinkedIn, Indeed, Jobgether, Startup Jobs, Monster, Built In, Jobs - Towards AI",eyJqb2JfdGl0bGUiOiJQcmluY2lwYWwgUHJlZGljdGl2ZSBBbmFseXRpY3MgQ29uc3VsdGFudCAjMTY2MyIsImNvbXBhbnlfbmFtZSI6Ik1lcmlkaWFuTGluayIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6InY1QkhWUlVsMVluMVdKTVBBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Data Science Senior Consultant,MetrixLab,"Denver, CO",Full-time,,,"python, r, machine learning, ai, statistics",,"The candidate will have excellent writing and communication skills, and client management experience, Prepare and impute missing data using SAS, SPSS, R, or Python, Collaborate with other members of the Data Science team in a fast paced and competitive, but collegial environment, Recommend survey designs for proposals and provide material for RFPs, Consult on questionnaire development for custom market research projects, Support MetrixLabs solutions that are based in data science and apply them to practical research issues, Multitasking on concurrent projects via efficient time management, Disseminate research findings to clients in a clear non-technical style, Provide training on custom Excel-based simulators",,2394,Karkidi,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgU2VuaW9yIENvbnN1bHRhbnQiLCJjb21wYW55X25hbWUiOiJNZXRyaXhMYWIiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiJRQnJRaVIzSndGZFA4T2pyQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Advanced Analytics Consultant,Health Care Service Corp.,United States,Full-time,"$67,500 ",Senior-level,"python, r, sql, machine learning, ai, statistics","Base Pay Range $67,500.00 - $143,100.00 Join our talent community and receive the latest HCSC news, content, and be first in line for new job opportunities","Job Summary This position is responsible for constructing forecasts, recommendations and strategic/tactical plans based on business data and market knowledge, Creates specifications for reports and analysis based on business needs and required or available data elements, May provide consultation to users and lead cross-functional teams to address business issues, May perform research and assists in analyzing financial and health data, including medical algorithms to determine health care expenditures, medical and economic outcomes, and cost containment strategies, Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers, Identifies and interprets trends and patterns in datasets to locate influences, Produces datasets and reports for analysis using system reporting tool and/or languages of high complexity with minimal assistance, Automates processes to increase efficiency and standards, The Advanced Consultants primary responsibility is to leverage strong technical skills (SQL, R, Python, Tableau, Power BI, Alteryx, Github) and healthcare industry knowledge (payor, provider, pharmacy, public health, epidemiology, etc.), to support and enhance client-facing engagements with HCSCs Commercial customers, The consultant will be accountable for the analytic support and consultancy for HCSCs Commercial Clients and advisory for internal senior-leader stakeholders related to population health and insurance, This role is on a hybrid schedule that requires visibility in a listed HCSC office least three (3) days per week",2024/11/5,6596,"Workday, Jobs And Talents In AI, ML, Data Science And Big Data",eyJqb2JfdGl0bGUiOiJBZHZhbmNlZCBBbmFseXRpY3MgQ29uc3VsdGFudCIsImNvbXBhbnlfbmFtZSI6IkhlYWx0aCBDYXJlIFNlcnZpY2UgQ29ycC4iLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiI2dXMwOWFKMkkwdjhFX2F1QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Senior Manager/ AD - Telematics SME,Tiger Analytics,Anywhere,Full-time,,,"python, r, machine learning, deep learning, ai, cloud",This position offers an excellent opportunity for significant career development in a fast-growing and challenging entrepreneurial environment with a high degree of individual responsibility,"As a part of our team, you will apply strong expertise in AI through the use of machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engines and services, You will collaborate with cross-functional teams and business partners to define the technical problem statement and hypotheses to test, You will develop efficient and accurate analytical models which mimic business decisions and incorporate those models into analytical data products and tools, You will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results",,3016,"LinkedIn, Rise AI Job Search | Tech Startup Jobs, Remote Jobs Hiring Now, Talentify, Adzuna, GrabJobs, Jobrapido.com, Jobilize",eyJqb2JfdGl0bGUiOiJTZW5pb3IgTWFuYWdlci8gQUQgLSBUZWxlbWF0aWNzIFNNRSIsImNvbXBhbnlfbmFtZSI6IlRpZ2VyIEFuYWx5dGljcyIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6Iklha1ljSktfc2N1ajRjYXRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Automation Engineer,Insight Global,"Fort Wayne, IN",Full-time,,,"r, ai",,"Responsibilities include: - Implementing, testing, supporting, and installing a software suite - Configuring existing software framework as needed for new projects - Generating ATS layouts, programming PLC's, implementing traffic rules, calibrating vehicles, and testing software in simulation on devices, Making sure software systems meet customer specifications and work within site constraints This position is hybrid, Work schedules of remote and commuting to designated office are determined by hiring manager based on business need, Overall 25% travel requirement, up to 50% travel during installation and commissioning",2024/11/5,1171,"LinkedIn, WayUp, BeBee, CrelateÂ®, Jobcase, Jobs Trabajo.org, Nexxt, JoPilot",eyJqb2JfdGl0bGUiOiJBdXRvbWF0aW9uIEVuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiSW5zaWdodCBHbG9iYWwiLCJhZGRyZXNzX2NpdHkiOiJGb3J0IFdheW5lLCBJTiIsImh0aWRvY2lkIjoiMUh4N3ZBbGRoZDc3dWg5SkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Automation Engineer,Hamlyn Williams,"Sugar Land, TX",Full-time,,,"r, ai",,"The ideal candidate will be responsible for design and implementation in the areas of industrial control, process automation, and data acquisition, This role will involve working on upgrades, modifications, expansions, and lifecycle contract maintenance activities related to Distributed Control Systems (DCS), Safety Instrumented Systems (SIS), SCADA systems, and Plant Historians, Lead design and implementation of industrial control, automation, and data acquisition projects, Develop system architecture, BOM, project plans, and engineering deliverables, Conduct Factory Acceptance Tests and support site deployment, Review proposal estimates and troubleshoot control system issues, Perform system health checks and maintenance at customer sites",2024/11/5,1308,"LinkedIn, Bank Of Montserrat, Jobilize",eyJqb2JfdGl0bGUiOiJBdXRvbWF0aW9uIEVuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiSGFtbHluIFdpbGxpYW1zIiwiYWRkcmVzc19jaXR5IjoiU3VnYXIgTGFuZCwgVFgiLCJodGlkb2NpZCI6IlFoM05XcmZZdHBwdEZZN0FBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Test Automation Engineer,NextGen Federal Systems,"Aberdeen Proving Ground, MD",Full-time,,,"r, ai",,"The Test Automation Engineer will work in collaboration with systems development teams to create automated testing for large mission critical applications, The test engineer will participate in test case creation, test automation, and test result evaluation, They will work closely with the development teams to automate test cases, and track/report test results, They will work with the DevOps team to integrate automated testing into the applications pipeline builds, Collaborate with development, engineering, and system architects to create test strategies, test scenarios, and test plans, Build automated tests for mission critical DOD applications, Integrate automated tests into Continuous Integration (CI)/Continuous Deployment (CD) pipelines to enable continuous testing and delivery, Monitor and analyze test results to increase system quality and ensure system deployment stability, Openly promote and communicate our ideas for change and adaptability, Strive to achieve results as an organization, Encourage people to take risks and allow them to make mistakes",2024/11/5,3213,"LinkedIn, DisABLEDperson.com",eyJqb2JfdGl0bGUiOiJUZXN0IEF1dG9tYXRpb24gRW5naW5lZXIiLCJjb21wYW55X25hbWUiOiJOZXh0R2VuIEZlZGVyYWwgU3lzdGVtcyIsImFkZHJlc3NfY2l0eSI6IkFiZXJkZWVuIFByb3ZpbmcgR3JvdW5kLCBNRCIsImh0aWRvY2lkIjoiRnlVT1Ytc3diY2I4VEFxZ0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Automation and Controls Engineer - Robotics,Generac,"Whitewater, WI",Full-time,,,"r, ai","Competitive Benefits: Health, Dental, Vision, 401k and many more, Many employee activities, Scheduled events throughout the year that allow our employees, both current and retirees, to gather together and enjoy their time with their families and co-workers, From minor celebrations to major events, our employees balance their work by building a strong culture of teamwork and collaboration through a variety of occasions, including our Fun Days, Every day is Jeans Day!","This position is responsible for developing and supporting automation, robotic and control system solutions, Responsibilities include the design, support and operation of automation and robotic processes including controls system (PLC/SCADA) programming, simulation, and testing, and start up commissioning, This position requires the ability to understand shop floor operations as well as the design and development of automation and robotic process applications from an engineering perspective, This position also contributes to overall team performance by training/mentoring associates, providing technical assistance, and improving processes and standards, Support the Plant Operations, Work Internally and with vendors on the development and applications of new processes and technologies, Work with corporate Product and Advanced ME on NPI Projects, Prepare project deliverables including statements of work, status reports and budgets, Ensure adherence to Company standards and methodologies;, Discuss needs with internal customers in a non-technical language;, Analyze customer requests, understand need, and document in Functional Specification;, Translate functional requirements into System Design Specifications;, Develop programs to comply with system requirements;, Mentor and guide project team members to deliver on the project/program requirements;, Ensure customer acceptance by testing validation, and training users in changes to business processes;, Other duties as assigned, The employee is regularly required to stand and walk, Occasional travel, Each time a storm hits many employees volunteer their time with the customer support team or on the production line while others go right into storm-affected areas to repair generators",2024/11/4,5394,LinkedIn,eyJqb2JfdGl0bGUiOiJBdXRvbWF0aW9uIGFuZCBDb250cm9scyBFbmdpbmVlciAtIFJvYm90aWNzIiwiY29tcGFueV9uYW1lIjoiR2VuZXJhYyIsImFkZHJlc3NfY2l0eSI6IldoaXRld2F0ZXIsIFdJIiwiaHRpZG9jaWQiOiJfWlo1RWgzdm83ZGtOcVpaQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Facilities Automation Engineer,UOMUOMUS,"Miami, FL",Full-time,,,"r, ai","The University of Miami offers competitive salaries and a comprehensive benefits package including medical, dental, tuition remission and more","The Facilities Automation Engineer works on matters involving building automation devices, networks, and the related computer systems to ensure high-quality facilities conditions and operations while safeguarding University assets, To optimize the operational efficiency of various building systems the person in this role provides technical support for chiller plant operations, energy control systems, network devices and enterprise automation platforms, including installations, setup, commissioning, field programming, maintenance, calibration, and repairs for all associated campus assets, Maintains computer systems, provides guidance and support to HVAC Mechanics and Energy Technicians, and makes recommendations to the Energy Manager on ways to improve the building automation system and reduce energy consumption, Researches, evaluates, designs, implements, and monitors current sequence of operations to improve energy savings, Performs analysis to test, develop, modify, and adapt application systems, hardware configurations, and interface programs, Provides problem-solving expertise to troubleshoot and resolve production issues, Verifies the accuracy and validity of the building management data to ensure systems integrity, Maintains, calibrates, evaluates, and operates automated electronic-mechanical equipment, Troubleshoots the electronic controls and mechanical systems using engineer/ shop drawings, and service manuals, Oversees building energy performance and performs statistical data analysis, Completes energy audits and commissioning efforts in compliance with accepted industry methods and tools, Creates formal documentation, including memorandums, reports, status reports, etc, Analyzes, monitors, and evaluates software operation, Anticipates and determines appropriate directions and methods to resolve user/system problems, Trains and supports personnel on the use of campus energy management system, Performs project management for automation and energy projects, Coordinates with vendors, building occupants, and building managers, Supports project commissioning from the facility design construction program, Acts as liaison between software consultants, the University of Miami, the departments of Medical Network Service, and Information Technology, Repairs malfunctioning systems by repairing or replacing defective components or sub-systems, Performs preventive maintenance on systems as indicated by manufacturers or department guidelines and ensures completion in a timely and thorough manner, Adheres to University and unit-level policies and procedures and safeguards University assets, This list of duties and responsibilities is not intended to be all-inclusive and may be expanded to include other duties or responsibilities as necessary",2024/11/5,5145,"University Of Miami Jobs, Dice, Ladders, Get.It, App.careersaas.com, Learn4Good",eyJqb2JfdGl0bGUiOiJGYWNpbGl0aWVzIEF1dG9tYXRpb24gRW5naW5lZXIiLCJjb21wYW55X25hbWUiOiJVT01VT01VUyIsImFkZHJlc3NfY2l0eSI6Ik1pYW1pLCBGTCIsImh0aWRvY2lkIjoiYThKRGNYVjVzdV9xOTVKU0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Automation Engineer,Alfa Laval,"Broken Arrow, OK (+4 others)",Full-time,"$80,000 - $95,000",,"r, ai","Our benefits-eligible associates enjoy healthcare, dental and vision plans, a robust wellness program, generous 401(k), paid holidays, paid time off benefits, and more, At Alfa Laval, we carefully consider a wide range of factors to determine your total compensation package, The base salary for this role is typically $80,000 - $95,000","As an Automation Engineer, you'll have the opportunity to manage individual electrical projects from inception to completion, ensuring adherence to budget and schedule, You will have the opportunity to provide comprehensive electrical engineering designs, CAD drawings, and implement automation technologies such as PLCs and HMIS, Manage the electrical/automation scope of capital and aftermarket (parts/service) orders, Generate electrical scope quotations for the sales team, Provide electrical engineering design, adhering to best practices, required codes, and customer specifications, Utilize CAD software to develop drawing packages, Program PLC, HMI, and connectivity equipment, Support purchasing of electrical components, Create functional descriptions and operating manuals as required, Prove functional performance by performing and documenting hardware tests, Support Customers and Field Technicians by troubleshooting site issues with automation packages, including travel and direct communication with customers and suppliers as needed, Participate in group continuous improvement initiatives and specific product line R&D, Up to 30% travel expected domestically and internationally",,3598,Career At Alfa Laval,eyJqb2JfdGl0bGUiOiJBdXRvbWF0aW9uIEVuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiQWxmYSBMYXZhbCIsImFkZHJlc3NfY2l0eSI6IkJyb2tlbiBBcnJvdywgT0siLCJodGlkb2NpZCI6ImU2SzA0SVRzejlRTGh4UUpBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
"Engineer, Automation II",Southwire Company LLC,"Carrollton, GA",Full-time,,,"r, ai","We are proud to offer competitive compensation, employee benefits, tuition reimbursement, and unlimited growth opportunities, 401k with Matching, Family and Individual Insurance Packages (Health, Life, Dental, and Vision), Paid Time Off & Paid Holidays, Long & Short-Term Disability, Supplemental Insurance Plans, Employee Assistance Program, Employee Referral Program, Tuition Reimbursement Programs, Advancement & Professional Growth opportunities, Parental Leave","The Automation Engineer will design, budget, and manage installations of engineered control systems for both capital projects and continuous improvement projects associated with the modernization and plant operations, This individual will also provide technical assistance to plant electronic technicians, plant engineers, and modernization engineers in diagnosis of electrical malfunctions, determination of necessary repairs, and engineering elimination of the cause of the malfunctions impacting Connected Enterprise platforms, Promote safety in the workplace and on all project job sites, Versatile in ladder logic and various PLC programming languages, Project management which may include budgeting, design, installation management, spare parts procurement, etc, Develops new and modifies existing PLC, HMI and/or SCADA applications, interfaces, or embedded controls systems to improve and enhance manufacturing processes, Procures and provides asset and auxiliary values to support site OEE objectives, Review Connected Enterprise platform to identify potential issues with system performance, Research, evaluate, develop and implement new manufacturing methods and equipment to provide world-class manufacturing capability and competence, Designs, develops, maintains and modifies instrumentations and control systems, Proactively strive to maintain, add and improve information sources supporting Connected Enterprise, Participates in set-up and commissioning of control systems and trains affected team members, Travel, Physical Requirements, Working Conditions, and Equipment, Plans and Aligns",2024/10/19,3821,"Careers - Southwire, ZipRecruiter, Adzuna, BeBee, Local Job Network, Employer.circaworks.com, Metro Atlanta Jobs, Learn4Good",eyJqb2JfdGl0bGUiOiJFbmdpbmVlciwgQXV0b21hdGlvbiBJSSIsImNvbXBhbnlfbmFtZSI6IlNvdXRod2lyZSBDb21wYW55IExMQyIsImFkZHJlc3NfY2l0eSI6IkNhcnJvbGx0b24sIEdBIiwiaHRpZG9jaWQiOiJ4Mm00Uk9ORVlYeFZSMEQtQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Software Automation Engineer (Secret Clearance),Piper Companies,"Colorado Springs, CO",Full-time,"$75,000-$95,000",,"python, r, ai",,,2024/11/5,2770,"LinkedIn, Monster",eyJqb2JfdGl0bGUiOiJTb2Z0d2FyZSBBdXRvbWF0aW9uIEVuZ2luZWVyIChTZWNyZXQgQ2xlYXJhbmNlKSIsImNvbXBhbnlfbmFtZSI6IlBpcGVyIENvbXBhbmllcyIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiJNVG5RMlh1NzkxTzJRbmE1QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Automation Engineer,Diedre Moire Corp.,"Joliet, Illinois",Full-time,"$90,000 ",,"r, ai","Enjoy a fantastic work-life balance and brand new facilities as you receive competitive compensation with full medical, dental, prescription, vision and life insurance as well as company matched 401(k) and advancement opportunities, Paid time off for vacations, personal days and holidays, Job City Location: JolietJob State Location: ILJob Country Location: USASalary Range: $90,000 to $160,000","Automation Engineer Controls Designer PLCs Programmable Logic Controllers Programmer Integration HMIs Human Machine Interfaces Robots Motors Sensors Actuators Linear & Rotary Motion Control Machine Vision Electronics AC & DC Electrical Power Servos Industrial Manufacturing Machinery_ , ** Design, develop, test, validate, and implement electrical controls and programs for new manufacturing machinery, ** Ensure completion of accurate manuals, diagrams, and schematics to aid in installation, troubleshooting, and operation of new designs, ** Develop bills of materials, parts descriptions, and abstracts",2024/11/4,4383,"Adzuna, CSL, Quick Jobs Hiring, Rapid Openings",eyJqb2JfdGl0bGUiOiJBdXRvbWF0aW9uIEVuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiRGllZHJlIE1vaXJlIENvcnAuIiwiYWRkcmVzc19jaXR5IjoiSm9saWV0LCBJbGxpbm9pcyIsImh0aWRvY2lkIjoiekljc2tzZUhqaElxa0lnMkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
