job_title,company_name,sector,location,job_type,salary_range,experience_level,education_requirements,required_skills,responsibilities,years_experience,benefits,work_mode,posting_date,job_description_length,required_certifications,team_size,company_size,posting_platform,company_culture,visa_sponsorship,working_hours,language_requirements,travel_requirements,collaboration_tools,reporting_structure,learning_opportunities,stock_options,soft_skills,perks,job_id,via
Business Intelligence Analyst Senior - P&C Claims Analytics,USAA,Insurance,"Colorado Springs, CO",Full-time,"$99,160 - $178,480",6 years of data & analytics experience OR a minimum of 4 years of data & analytics experience and up to 2 years of progressive functional business relevant experience within the respective industry of responsibility,"Bachelor's degree in quantitative analytics field or 4 years of related experience in statistics, mathematics or quantitative analytics","SQL, Tableau, Python, data visualization, data transformation","Support all areas of Claims operations, lead analytic initiatives, analyze complex business problems, identify trends and patterns, prototype solutions, gather business requirements, collaborate with IT teams, apply data visualization best practices, provide system thinking, participate in industry groups, ensure risk compliance",6 years,"Paid time off, health insurance, dental insurance, pension, life insurance, parental benefits, adoption assistance, 401(k), wellness programs, career path planning, continuing education",In-office 4 days per week,3 days ago,Long,,,,LinkedIn,"Honesty, integrity, loyalty, service",,,,,,,"Continuous learning, mentorship",,"Creativity, collaboration, communication",,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCBTZW5pb3IgLSBQXHUwMDI2QyBDbGFpbXMgQW5hbHl0aWNzIiwiY29tcGFueV9uYW1lIjoiVVNBQSIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiJEWlVJekljZlFKX2p1dF9mQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Business Intelligence Analyst - Remote,"Center for Internet Security, Inc.",Sales and Business Services,Anywhere,Full-time,"$69,600 - $114,900",3+ years,"Bachelor's Degree in Business, Finance, or related field","Salesforce reporting, PowerBI reporting, Excel, data analysis, problem-solving, communication","Support reporting and dashboard needs, manage reporting and analysis, ensure data integrity, create and maintain reports/dashboards, collaborate with teams, lead data clean-up operations, participate in strategy discussions",3+ years,"Health insurance, Dental insurance, 401(k) with company match, Paid time off, Wellness program, Professional development opportunities, Tuition reimbursement, Employee referral program, Employee assistance program",Remote,,1344,,,,"Center For Internet Security, Inc. - ICIMS","Community-driven, nonprofit, invests in employee development, diverse opportunities, core leadership principles",Not specified,,,,"Salesforce, PowerBI, Pardot, Business Intelligence tooling",Reports to Director of Sales Operations,"Continuous learning and development, training opportunities",,"Analytical, problem-solving, communication, collaboration","$500 wellness card, Paid volunteering program, Bonus eligibility, Employee engagement activities, Student loan paydown program",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCAtIFJlbW90ZSIsImNvbXBhbnlfbmFtZSI6IkNlbnRlciBmb3IgSW50ZXJuZXQgU2VjdXJpdHksIEluYy4i,
"Business Intelligence Analyst, Senior",UPMC,Human Resources,United States,Full-time,,Senior,,"PowerBI, SQL, Oracle Database, Cognos, Excel, data modeling, ETL, data visualization","Responsible for the development, execution, and management of advanced reporting, compile and QA data, perform data profiling, identify trends, work with end users, provide insight for process improvements, act as a liaison with co-workers, develop and execute testing plans, participate in cross-functional projects, serve as resource and mentor for Associate and Intermediate roles",,Fully remote work arrangements,,,Long,,,,UPMC Careers,,,"Daylight hours, Monday through Friday",,,,,,,,,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCwgU2VuaW9yIiwiY29tcGFueV9uYW1lIjoiVVBNQyIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IlY2Z1paYlFLbDg1RERWbkpBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Business Intelligence Analyst,CBRE,Data & Analytics,"Glendale, CO",Full-time,"$108,000 - $115,000 annually",Up to 3 years,Bachelor's Degree preferred,"Understanding of project lifecycle, reporting tools (Tableau, PowerBI, Looker Studio), organizational skills","['Help clients improve data and processes', 'Generate reports from multiple sources', 'Identify opportunities for improvements', 'Lead project implementations', 'Model behaviors consistent with CBRE RISE values', 'Become a subject matter expert on commercial real estate']",,"['401(K)', 'Dental insurance', 'Health insurance', 'Life insurance', 'Vision insurance']",Remote,05-Nov-2024,,,,,Adzuna,,Currently authorized to work in the United States without the need for visa sponsorship,,,,,,,,,,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IkNCUkUiLCJhZGRyZXNzX2NpdHkiOiJHbGVuZGFsZSwgQ08iLCJodGlkb2NpZCI6ImxLdElEeEVoUi1uN0pybnhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Business Intelligence Analyst II,Sovos Compliance,Information Technology,United States,Full-time,,3+ years,"Bachelor’s degree in Business Analytics, Data Science, Computer Science, or 3+ years of experience in business intelligence, data management, or other analytical roles; preferably with experience in software industry","Strong aptitude in relational database concepts, experience with common data visualization practices, working with relational databases and BI Tools (Tableau, Quicksight, or related), analytical skills, communication skills, problem-solving abilities","['Develop, maintain, and optimize dashboards and reports using Tableau to support business operations and decision-making', 'Design and implement data models and queries to extract, manipulate, and analyze complex datasets from disparate systems', 'Collaborate with cross-functional teams to gather requirements and deliver insightful, data-driven solutions', 'Monitor data quality and ensure accuracy and consistency across various data sources', 'Perform ad-hoc data analysis to identify trends, patterns, and opportunities for business improvement', 'Present findings and recommendations to stakeholders in a clear and concise manner']",,"['Flexible Time-Off', 'Comprehensive health, dental and vision benefits', '401(k) match', 'Tuition Reimbursement', 'Bi-Weekly Meeting Free Days!', 'Mentoring Programs', 'Globally recognized Training and Development programs']",,15 days ago,Long,,,,Glassdoor,Diverse and inclusive,,,,,,,Globally recognized Training and Development programs,,,,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCBJSSIsImNvbXBhbnlfbmFtZSI6IlNvdm9zIENvbXBsaWFuY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJpcUxOYnJzVTBfSHc0S3RtQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Mid-Level Business Intelligence Analyst,The Boeing Company,Business Intelligence,"Colorado Springs, CO",Full-time,"$82,450 - $127,650",3+ years,Bachelor's degree or equivalent,"Microsoft Power BI, SQL, Python, Tableau","['Design Business Intelligence information models, dashboards, metrics, and reports', 'Utilize SQL, Python, and Tableau/Power BI for scalable solutions', 'Engage with compliance-related stakeholders for analysis and automation', 'Maintain data integrity and quality of analysis']",3+ years,"['Health insurance', 'Dental insurance', 'Competitive base pay and variable compensation opportunities']",Hybrid,2024-11-01,Long,None,,,ZipRecruiter,,US Person required,First shift,English,None,Not specified,,Available,,"Strong presentation skills, problem-solving",No relocation assistance,00000439157,
Business Intelligence Analyst,Zoll,Healthcare,"Denver, CO",Full-time,$95K-$105K base salary annually,3-5 years of progressive responsibility and expertise in Analytics/Business Intelligence,"Bachelor's Degree in computer science, math, finance, information technology/systems or equivalent relevant experience","SQL, data modeling, analytics packages like Infor Birst, Power BI or Tableau","Design, deliver, and maintain robust analytics reports and dashboards; Stay engaged with customers and product teams to identify and refine analytics requirements; Implement appropriate data models and efficient queries in Data Warehouse environment",3-5 years,"401(k), medical, dental, vision, life, AD&D, flex spending accounts, STD/LTD, Paid Time Off, tuition assistance",On-site,21 days ago,Long,,,Fast-growing company operating in more than 140 countries,CareerOneStop,"Values innovation, self-motivation, and entrepreneurial spirit",,,,,,,Opportunities to expand technical skills like machine learning and ETL processes,,"Self-motivated, enjoys working with customers and internal teams","Casual work environment, competitive salaries, stocked kitchens, free daily organic fruit delivery, on-site fitness center, on-site cafe, dry cleaning service, social events",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlpvbGwiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiJGVlhiaEZZU1dkOUNHVFJfQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Business Intelligence Analyst,Gaia,Media,"Louisville, CO",Full-time,"$80,000 - $135,000 per year",Senior,,"Big data SQL dialects, Python, Jupyter, Pandas, Pyspark, DOMO, Qubole, AWS, S3, Excel, Google BigQuery, Google Analytics 4","Generate visualizations and reports, maintain visualizations, collaborate with stakeholders, automate processes",,"Salary compensation, medical benefits, dental insurance, vision insurance, 401K, life insurance",On-site,,Long,,,,Indeed,Empowerment of global conscious community,US citizenship or US residency required,,,,"DOMO, Qubole, AWS",Collaborate with data engineering,,,"Effective communication, teamwork, problem-solving, adaptability, empathy, positive relationship building, solution-oriented mindset","On-site gym, solar-powered campus, hiking trails, community garden, on-site organic café, medical benefits, alternative health practices",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IkdhaWEiLCJhZGRyZXNzX2NpdHkiOiJMb3Vpc3ZpbGxlLCBDTyIsImh0aWRvY2lkIjoieW5RYTkyclhJUjBnT1pSV0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
BI Analyst,University of Colorado Denver,Education,"Denver, CO",Full-time,"$78,000-$82,000",Mid-level,Bachelor's degree or equivalent professional experience,"BI reporting tools, data management, SQL, project management","Data analysis, report development, project management, partner success",2 years,"Health insurance, dental insurance, paid time off, retirement plans, tuition benefits, parental leave",Remote with callback weeks in-office,"Apr 8, 2024",Long,,,,HigherEdJobs,Inclusive and diverse workforce,Not available,,,,"BI tools, Salesforce, Cognos, Tableau",Reports to Associate Director of Business Intelligence & Data Architecture,Professional development opportunities,,"Interpersonal skills, communication skills, problem-solving skills","Free RTD EcoPass, Free Onsite Parking, comprehensive benefits package",eyJqb2JfdGl0bGUiOiJCSSBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiVW5pdmVyc2l0eSBvZiBDb2xvcmFkbyBEZW52ZXIiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiJJcnVTQ3ZQbzZXWVp1Y0drQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Sr. Business Intelligence Analyst,Trimble Inc.,AECO,"Westminster, CO",Full-time,,6+ years,"Bachelor's degree in Business Administration, Statistics, Computer Science, or related field","SQL, Salesforce, Tableau, Domo, Power BI, Python or R","Lead data analysis initiatives, collaborate with cross-functional teams, develop data models and dashboards, monitor data quality, deliver data presentations, mentor junior analysts",6+ years,"Pay Equity, Medical, Dental, Vision, Life, Disability, Time off plans, Retirement plans, Paid Parental Leave, Employee Stock Purchase Plan",Onsite or hybrid (3-5 days in office),,Long,,,,ZipRecruiter,Diverse and inclusive,,,,,,,Stay up-to-date with industry trends and emerging technologies,Yes,"Strong communication, problem-solving, critical-thinking, stakeholder management",,eyJqb2JfdGl0bGUiOiJTci4gQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiIxMDAiLCJhZGRyZXNzX2NpdHkiOiJXZXN0bWluc3RlciwgQ08iLCJodGlkb2NpZCI6ImZ0ZE5nRXJNWjFVNUlMQ0xBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Junior Business Intelligence Analyst,SynergisticIT,Information Technology,United States,Full-time,,Entry-level,"Bachelors or Masters degree in Computer Science, Engineering, or related fields","Java, Core Java, JavaScript, C++, Spring Boot, Microservices, REST API's, written and verbal communication skills","Software programming, data analysis, machine learning",,"Assistance with visa applications, skill enhancement programs, STEM extension filing, H1b and Green card filing",,4 days ago,Long,,,,LinkedIn,,Available for all visas and US citizens,,,,,,,,,,eyJqb2JfdGl0bGUiOiJKdW5pb3IgQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJTeW5lcmdpc3RpY0lUIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoidWFVdkdMSEh3QUpkZVRZU0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Business Intelligence Analyst,CenterWell,Healthcare,"Santa Fe, NM",Full-time,"$65,000 - $89,500 per year",3+ years,Master's degree or equivalent experience in a data- or analytics-oriented role,"SQL, SAS, Power BI, data analysis, forecasting","Analyzing and forecasting data, collaborating with stakeholders, creating actionable insights, utilizing data to solve business problems",3+ years,"Medical, dental, and vision benefits, 401(k) retirement savings plan, paid time off, short-term and long-term disability, life insurance, bonus incentive plan",,10 days ago,Long,,,,Monster,Focused on whole-person health and continuous improvement,,40 hours per week,,,"SAS, SQL, Power BI",,Opportunities to grow and develop,,"Collaborative, team-oriented, good communication skills","Health insurance, dental insurance, paid time off",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IkNlbnRlcldlbGwiLCJhZGRyZXNzX2NpdHkiOiJTYW50YSBGZSwgTk0iLCJodGlkb2NpZCI6InFuR2RDSDhaX1F6RWhVZDZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
"Data Analyst, Business Intelligence",Privia Health,Healthcare,United States,Full-time,"$75,000-$95,000",2+ years,Bachelor's degree in a quantitative field preferred,"SQL, Python, Microsoft Excel, healthcare claims data analysis",See job highlights for detailed responsibilities,2+ years,"Salary range, annual bonus, expense reimbursement for remote workers",Remote work available,4 days ago,Long,,,,Smart Recruiters Jobs,Diverse and inclusive,,,,,"BI tools like Tableau, MicroStrategy, QlikView, or Looker",,Preferred experience in an Agile Sprint environment,,"Innovative, resourceful, outcome-driven, attention to detail, strong communication skills, critical thinking",,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QsIEJ1c2luZXNzIEludGVsbGlnZW5jZSIsImNvbXBhbnlfbmFtZSI6IlByaXZpYSBIZWFsdGgiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiI1a0dNZGdTSHVpVTQtWkZKQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Business Intelligence Analyst-Firefly-Epic & Redcap,Vanderbilt University Medical Center,Healthcare,Anywhere,Full-time,,2 years,Bachelor's,"Data Analysis, Business Intelligence Tools, Business Requirements Definition, Data Mining","Develop requirements for BI solutions, Utilize BI tools, Perform Data Analysis, Implement projects, Solve complex problems, Monitor and track data on patient outcomes, Compile and analyze data for grants, Develop dashboards, Work with HealthIT and developers, Present findings, Lead analyses, Ensure data integrity and security",2,,Remote,2 days ago,Long,,,Large,Workday,Diverse and inclusive,,,,,,,Continuous learning and development,,"Problem-solving, Communication, Teamwork",,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdC1GaXJlZmx5LUVwaWMgXHUwMDI2IFJlZGNhcCIsImNvbXBhbnlfbmFtZSI6IlZhbmRlcmJpbHQgVW5pdmVyc2l0eSBNZWRpY2FsIENlbnRlci,
Business Intelligence Analyst,Partner Colorado Credit Union,Finance,"Arvada, CO",Full-time,"$75,000+ depending on experience",Minimum five years' experience in a credit union or banking environment,"Four-year college degree in business administration, Finance, Accounting, Economics or a similar field required","Data Analysis, Microsoft Excel, Communication Skills","Key financial advisor, Data analysis, Financial modeling, Reporting, Budgeting, Compliance",Minimum five years,"Medical Plans, Dental, Vision, HSA, 401(k) match, Life/AD&D, Paid Time Off, Paid Holidays, Professional Development",,10 days ago,Long,,,,ZipRecruiter,,,,,,,,,,"Attention to Detail, Self-motivated, Innovative, Driving for Results, Earning Trust","Paid time off, Dental insurance, Health insurance",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlBhcnRuZXIgQ29sb3JhZG8gQ3JlZGl0IFVuaW9uIiwiYWRkcmVzc19jaXR5IjoiQXJ2YWRhLCBDTyIsImh0aWRvY2lkIjoiNDdoQzZnTGhlaWpYZXdfeEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Analyst, Business Intelligence",Healthmap Solutions,Healthcare,Anywhere,Full-time,,2 years,"Bachelor’s degree in data analytics, business intelligence, data science, or related field","Data visualization (Tableau or Power BI), SQL, statistical software (Python, SAS or R), Microsoft Excel, problem-solving, critical thinking, quantitative capabilities, project management, time management, organizational skills","Collect and synthesize complex data, provide analysis and interpretation, derive insights, act as internal consultant, maximize use of enterprise data warehouse, problem definition, data collection, maintain knowledge of healthcare coding and analytics, validate findings, observe patterns, manage time appropriately, ensure documentation, work with cross-functional teams, comply with HIPAA regulations",2,,Remote,9 days ago,Long,,,,Jobvite,,,,,None,,,Constantly evolving population health industry,,"Strong communication, collaboration, self-starter",,eyJqb2JfdGl0bGUiOiJBbmFseXN0LCBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UiLCJjb21wYW55X25hbWUiOiJIZWFsdGhtYXAgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiOGU5bkFiRFdQQ1lPLWZSSUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Data Analyst - Business Intelligence,"PDS Inc, LLC",Oil and Gas,"Denver, CO",Full-time,"$100,000 - $130,000",Mid-level,"BS/BA in Business Analytics, Computer Science, Statistics, or related field","Spotfire, PowerBI, SQL, Python, R","['Optimize, update, and maintain Spotfire reports/dashboards', 'Analyze datasets for KPIs, benchmarking, and business improvements', 'Collaborate with business teams on reports, dashboards, and analytics projects', 'Create and manage corporate BI projects', 'Train users on BI tools', 'Deploy data queries and models for business needs', 'Present analytic findings to technical and non-technical audiences', 'Handle multiple projects in a fast-paced environment']",,Compensation: $100-130k DOE,,,Long,,,,"PDS Inc, LLC",,,,,,,,,,"Strong problem-solving, analytical skills, self-motivated, teamwork, excellent communication",,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgLSBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UiLCJjb21wYW55X25hbWUiOiJQRFMgSW5jLCBMTEMiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiI1Nk42NEZwaE1NMG5ON2Z5QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Sr. Business Intelligence Analyst,Trimble,AECO,"Westminster, CO",Full-time,"$105,682 - $142,676",6+ years,Bachelor's degree in relevant field,"SQL, Salesforce, Tableau, Domo, Power BI, Python or R","Lead data analysis initiatives, collaborate with cross-functional teams, develop data models and dashboards, provide data-driven insights, mentor junior analysts",6+ years,"Comprehensive core benefits including Medical, Dental, Vision, Life, Disability, Time off plans, retirement plans, tax savings plans, Paid Parental Leave, Employee Stock Purchase Plan",Onsite or hybrid,,Long,,,,Workday,Diverse and inclusive,,,,,,,Stay up-to-date with industry trends and emerging technologies,,"Stakeholder management, problem-solving, critical-thinking, communication",,eyJqb2JfdGl0bGUiOiJTci4gQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiIxMDAiLCJhZGRyZXNzX2NpdHkiOiJXZXN0bWluc3RlciwgQ08iLCJodGlkb2NpZCI6IjBnNEhyVTVCVE1mNHl4eXBBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Senior Business Intelligence Analyst - Clinical (Patient Safety / Quality),Memorial Sloan Kettering Cancer Center,Healthcare,United States,Full-time,"$120,200 - $192,300",5+ years,No degree mentioned,"Data analysis, Reporting architecture, Data modeling, SQL, Python, Communication skills","Analyzing reporting architecture issues, Designing and implementing reporting road map, Providing analytics solutions, Developing and maintaining application reports, Coordinating testing on applications",5+ years,"Pay Range: $130,700.00-$215,800.00, MSK Compensation Philosophy",Hybrid onsite 3 days a month,17 days ago,Long,"Epic Cogito, Caboodle, and Clarity as well as Clinical Data Model certifications preferred",,,Glassdoor,,,,,,,"Reporting to the Associate Director, Analytics",,,"Exceptional communication skills, Problem solving, Analytical skills",,eyJqb2JfdGl0bGUiOiJTZW5pb3IgQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QgLSBDbGluaWNhbCAoUGF0aWVudCBTYWZldHkgLyBRdWFsaXR5KSIsImNvbXBhbnlfbmFtZSI6Ik1lbW9yaWFsIFNsb2FuIEtldHRlcmluZyBDYW5jZXIgQ2VudGVyIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUmN6NGE4bmJTQldiZXcySUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Business Intelligence Data Analyst,Intuitive,Healthcare,United States,Full-time,106K-180K a year,3+ years,"Bachelor's or Master's degree in Data Science, Computer Science, Statistics, Mathematics, or related field","Analytical skills, data visualization, SQL, Python, R, cloud data platforms","Analyze data, develop insights, support forecasting, collaborate with teams, present insights to stakeholders",3+ years,"Market-competitive compensation packages, base pay, incentives, benefits, equity",Remote,4 days ago,Long,,,,Adzuna,Inclusive and diverse,,Day shift,,Up to 10%,Not specified,,Continuous learning and growth support,,Excellent communication,,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgRGF0YSBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiSW50dWl0aXZlIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUlFMMEg5djByUXNTM09IZUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Business Intelligence Analyst,Georgia IT Inc.,Information Technology,"Englewood, CO",Full-time,$100K - $105K (DOE) Negotiable,,No degree mentioned,"OBIEE report enhancement, source systems analysis, requirements gathering and documentation, workflow management, incident ownership, tier 2 and tier 3 support for BI applications, training, user assistance","Perform OBIEE report enhancement, source systems analysis, requirements gathering and documentation; workflow management and incident ownership; tier 2 and tier 3 support for BI applications; training and user assistance. Disseminate information regarding tools, reports, or metadata enhancements. Maintain or update business intelligence tools, databases, dashboards, systems, or methods. Provide technical support for existing reports, dashboards, or other tools. Maintain library of documents, templates, or other reusable knowledge assets. Create or review technical design documentation to ensure the accurate development of reporting solutions. Communicate with customers, suppliers, professional organizations, or others. Document specifications for business intelligence reports, dashboards, or other outputs. Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders. Own incidents in the BI workspace through their entire lifecycle. Manage systems requests as small projects in the BI workspace. Perform BI, ETL and database requirements gathering and documentation for systems requests and projects. Field tickets regarding BI environment incidents or systems requests. Interact with end users to clarify incidents or gather detailed requirements for systems requests or projects. Manage tickets through the ECS BI team workflow. Gather and document requirements for reports, dashboards, ETL and database requests or projects. Coordinate small project requests. Facilitate JAD sessions for report mock ups. Support users through troubleshooting or training activities. Adhere to, maintain, and enhance internal processes and procedures. Validate and analyze data sourced from the ECS DW and related source systems. Build, fix or enhance OBIEE dashboards, reports and RPD",,Salary: $100K - $105K (DOE) Negotiable,,,Long,,,,Monster,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCAtIEVuZ2xld29vZCwgQ08iLCJjb21wYW55X25hbWUiOiJHZW9yZ2lhIElUIEluYy4iLCJhZGRyZXNzX2NpdHkiOiJFbmdsZXdvb2QsIENPIiwiaHRpZG9jaWQiOiJqaEVLQmtlNGhYWlc4VUduQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Sales Business Intelligence Analyst,The Mom Project,Technology,Colorado,Full-time,,Mid-Senior level,"Bachelor's degree in Business Administration, Statistics, Computer Science, or related field","SQL, Salesforce, Tableau, Domo, Power BI, Python or R, stakeholder management, data analysis","Collaborate with cross-functional teams, develop data models, conduct data analysis, monitor data quality, deliver data presentations, identify process improvements, stay updated with industry trends",,"Health insurance, Dental insurance, Competitive salary range, Perks available","Onsite in Westminster, CO or 100% remote for strong candidates",29 days ago,Long,,,,Jobbio,,,,,,,,,,"Problem-solving, critical-thinking, communication","Health Benefits: Medical, Dental, Vision, 401k, FSA, Commuter Benefit Program",eyJqb2JfdGl0bGUiOiJTYWxlcyBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlRoZSBNb20gUHJvamVjdCIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIiwiaHRpZG9jaWQiOiJ4dDBtdzFmZl9FeVl2eVhHRUFBQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
